s,x,y,heading
6.55615349,3.41070978,1.70120301,1.94715402
6.57091960,3.40519733,1.71500225,1.95463978
6.58568571,3.39957809,1.72875836,1.96263874
6.60045182,3.39384632,1.74247194,1.97068025
6.61521793,3.38800661,1.75614233,1.97824878
6.62998404,3.38206772,1.76976830,1.98532612
6.64475015,3.37603515,1.78334906,1.99236264
6.65951627,3.36990503,1.79688533,1.99976459
6.67428238,3.36367229,1.81037813,2.00725452
6.68904849,3.35733947,1.82382678,2.01445583
6.70381460,3.35091267,1.83722965,2.02133002
6.71858071,3.34439629,1.85058558,2.02813110
6.73334682,3.33778830,1.86389512,2.03518409
6.74811293,3.33108413,1.87715951,2.04234453
6.76287905,3.32428534,1.89037830,2.04928497
6.77764516,3.31739714,1.90355008,2.05594406
6.79241127,3.31042377,1.91667365,2.06250131
6.80717738,3.30336414,1.92974929,2.06927603
6.82194349,3.29621358,1.94277800,2.07619251
6.83670960,3.28897298,1.95575964,2.08290559
6.85147571,3.28164748,1.96869334,2.08931464
6.86624183,3.27424178,1.98157832,2.09557746
6.88100794,3.26675557,1.99441462,2.10204234
6.89577405,3.25918397,2.00720283,2.10868919
6.91054016,3.25152716,2.01994296,2.11516026
6.92530627,3.24378997,2.03263460,2.12131890
6.94007238,3.23597736,2.04527738,2.12729259
6.95483849,3.22808978,2.05787123,2.13344017
6.96960461,3.22012246,2.07041639,2.13980187
6.98437072,3.21207481,2.08291285,2.14602365
6.99913683,3.20395126,2.09536062,2.15193242
7.01390294,3.19575687,2.10775968,2.15762382
7.02866905,3.18749282,2.12011003,2.16345271
7.04343516,3.17915464,2.13241156,2.16951904
7.05820127,3.17074100,2.14466418,2.17548688
7.07296739,3.16225586,2.15686818,2.18114796
7.08773350,3.15370425,2.16902390,2.18656652
7.10249961,3.14508797,2.18113147,2.19208072
7.11726572,3.13640304,2.19319054,2.19784604
7.13203183,3.12764749,2.20520084,2.20355734
7.14679794,3.11882470,2.21716285,2.20897428
7.16156405,3.10993962,2.22907722,2.21413109
7.17633017,3.10099451,2.24094427,2.21933894
7.19109628,3.09198602,2.25276351,2.22480182
7.20586239,3.08291164,2.26453446,2.23025579
7.22062850,3.07377416,2.27625766,2.23543321
7.23539461,3.06457832,2.28793405,2.24034009
7.25016072,3.05532677,2.29956415,2.24525331
7.26492683,3.04601684,2.31114743,2.25041619
7.27969295,3.03664561,2.32268317,2.25561353
7.29445906,3.02721528,2.33417192,2.26055692
7.30922517,3.01773029,2.34561481,2.26522576
7.32399128,3.00819357,2.35701260,2.26985855
7.33875739,2.99860316,2.36836480,2.27472727
7.35352350,2.98895588,2.37967045,2.27966998
7.36828962,2.97925332,2.39093004,2.28438554
7.38305573,2.96949959,2.40214485,2.28882792
7.39782184,2.95969778,2.41331583,2.29319604
7.41258795,2.94984664,2.42444262,2.29777928
7.42735406,2.93994286,2.43552407,2.30247059
7.44212017,2.92998745,2.44656053,2.30696501
7.45688628,2.91998416,2.45755336,2.31119201
7.47165240,2.90993614,2.46850373,2.31531197
7.48641851,2.89984279,2.47941141,2.31962061
7.50118462,2.88970082,2.49027513,2.32406495
7.51595073,2.87951071,2.50109505,2.32834521
7.53071684,2.86927579,2.51187257,2.33236732
7.54548295,2.85899923,2.52260901,2.33625567
7.56024906,2.84868097,2.53330435,2.34030223
7.57501518,2.83831790,2.54395723,2.34450514
7.58978129,2.82790999,2.55456762,2.34857835
7.60454740,2.81746016,2.56513687,2.35240544
7.61931351,2.80697152,2.57566645,2.35607826
7.63407962,2.79644449,2.58615655,2.35987631
